headers	province	region
EPI_ISL_2696116|B/Jiangxi-Yuanzhou/1434/2021|2021-03-01	Jiangxi	East
EPI_ISL_2696118|B/Guangdong-Dongwanbendi/545/2021|2021-02-01	Guangdong	South
EPI_ISL_2696120|B/Guangxi-Hengxian/39/2021|2021-01-15	Guangxi	South
EPI_ISL_2696121|B/Henan-Luolong/156/2021|2021-01-18	Henan	Central
EPI_ISL_2696122|B/Henan-Jinshui/166/2021|2021-01-25	Henan	Central
EPI_ISL_2696123|B/Hunan-Tianyuan/196/2021|2021-01-18	Hunan	Central
EPI_ISL_2696124|B/Hubei-Xianan/545/2021|2021-02-03	Hubei	Central
EPI_ISL_2696127|B/Hunan-Tianyuan/1124/2021|2021-01-25	Hunan	Central
EPI_ISL_2696128|B/Hunan-Tianyuan/199/2021|2021-01-25	Hunan	Central
EPI_ISL_2696129|B/Jiangxi-Yushui/1133/2021|2021-02-02	Jiangxi	East
EPI_ISL_2696134|B/Jiangxi-Yushui/1116/2021|2021-02-01	Jiangxi	East
EPI_ISL_2696135|B/Hunan-Tianyuan/1130/2021|2021-02-01	Hunan	Central
EPI_ISL_2696138|B/Heilongjiang-Aimin/150/2021|2021-01-19	Heilongjiang	North
EPI_ISL_2696139|B/Hubei-Echeng/1322/2021|2021-02-18	Hubei	Central
EPI_ISL_2696140|B/Hubei-Echeng/1322/2021|2021-02-18	Hubei	Central
EPI_ISL_2696141|B/Hubei-Xianan/545/2021|2021-02-03	Hubei	Central
EPI_ISL_2696143|B/Zhejiang-Nanhu/1177/2021|2021-02-24	Zhejiang	East
EPI_ISL_2696144|B/Zhejiang-Nanhu/1126/2021|2021-02-09	Zhejiang	East
EPI_ISL_2696145|B/Henan-Luolong/1122/2021|2021-02-17	Henan	Central
EPI_ISL_2696149|B/Hubei-Dongxihu/217/2021|2021-01-31	Hubei	Central
EPI_ISL_2696151|B/Hubei-Xianan/1167/2021|2021-02-21	Hubei	Central
EPI_ISL_2696152|B/Hubei-Xianan/1164/2021|2021-02-20	Hubei	Central
EPI_ISL_2696153|B/Henan-Luolong/187/2021|2021-02-02	Henan	Central
EPI_ISL_2696157|B/Shandong-Ningjin/33/2021|2021-02-01	Shandong	East
EPI_ISL_2696158|B/Shandong-Ningjin/32/2021|2021-02-01	Shandong	East
EPI_ISL_2696161|B/Shandong-Ningjin/31/2021|2021-02-01	Shandong	East
EPI_ISL_2696162|B/Guizhou-Douyun/1104/2021|2021-01-27	Guizhou	Southwest
EPI_ISL_2696164|B/Fujian-Sanyuan/2218/2021|2021-02-15	Fujian	East
EPI_ISL_2696166|B/Fujian-Meilie/1145/2021|2021-02-07	Fujian	East
EPI_ISL_2696167|B/Fujian-Meilie/1124/2021|2021-02-01	Fujian	East
EPI_ISL_2696171|B/Zhejiang-Yuecheng/313/2021|2021-01-15	Zhejiang	East
EPI_ISL_2696172|B/Zhejiang-Yuecheng/311/2021|2021-01-15	Zhejiang	East
EPI_ISL_2696177|B/Hunan-Tongdaodongzuzizhi/32/2021|2021-01-19	Hunan	Central
EPI_ISL_2696179|B/Hunan-Yuhua/1170/2021|2021-02-02	Hunan	Central
EPI_ISL_2696181|B/Henan-Luolong/174/2021|2021-01-25	Henan	Central
EPI_ISL_2696182|B/Henan-Luolong/169/2021|2021-01-25	Henan	Central
EPI_ISL_2696183|B/Henan-Zhongyuan/1112/2021|2021-02-07	Henan	Central
EPI_ISL_2696185|B/Hunan-Yuhua/194/2021|2021-01-18	Hunan	Central
EPI_ISL_2696186|B/Guizhou-Kaili/17/2021|2021-01-04	Guizhou	Southwest
EPI_ISL_2696187|B/Guizhou-Kaili/13/2021|2021-01-04	Guizhou	Southwest
EPI_ISL_2696188|B/Hubei-Xianan/180/2021|2021-01-25	Hubei	Central
EPI_ISL_2696189|B/Guizhou-Douyun/137/2021|2021-01-11	Guizhou	Southwest
