headers	province	region
EPI_ISL_2696147|B/Henan-Xigong/1118/2021|2021-02-17	Henan	Central
EPI_ISL_2696148|B/Henan-Xigong/1118/2021|2021-02-17	Henan	Central
EPI_ISL_2696168|B/Fujian-Meilie/1103/2021|2021-02-01	Fujian	East
EPI_ISL_2696193|B/Jiangxi-Zhanggong/328/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696194|B/Jiangxi-Zhanggong/327/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696195|B/Jiangxi-Zhanggong/326/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696196|B/Jiangxi-Zhanggong/325/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696197|B/Jiangxi-Zhanggong/323/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696198|B/Jiangxi-Zhanggong/322/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696199|B/Jiangxi-Zhanggong/319/2021|2021-01-14	Jiangxi	East
EPI_ISL_2696203|B/Jiangxi-Jizhou/190/2021|2021-01-18	Jiangxi	East
EPI_ISL_2696205|B/Jiangxi-Jizhou/170/2021|2021-01-18	Jiangxi	East
EPI_ISL_2696206|B/Jiangxi-Jizhou/167/2021|2021-01-18	Jiangxi	East
EPI_ISL_2696207|B/Jiangxi-Jizhou/150/2021|2021-01-13	Jiangxi	East
EPI_ISL_2696208|B/Jiangxi-Jizhou/146/2021|2021-01-12	Jiangxi	East
EPI_ISL_2696209|B/Jiangxi-Zhanggong/330/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696210|B/Jiangxi-Zhanggong/324/2021|2021-01-21	Jiangxi	East
EPI_ISL_2696229|B/Jiangxi-Zhanggong/15/2021|2021-01-04	Jiangxi	East
EPI_ISL_2696253|B/Jiangxi-Zhanggong/31/2021|2021-01-06	Jiangxi	East
EPI_ISL_2696254|B/Jiangxi-Zhanggong/32/2021|2021-01-06	Jiangxi	East
EPI_ISL_2696255|B/Jiangxi-Zhanggong/33/2021|2021-01-06	Jiangxi	East
EPI_ISL_2696256|B/Jiangxi-Zhanggong/35/2021|2021-01-06	Jiangxi	East
EPI_ISL_2696257|B/Jiangxi-Zhanggong/39/2021|2021-01-06	Jiangxi	East
EPI_ISL_2696264|B/Jiangxi-Zhanggong/38/2021|2021-01-06	Jiangxi	East
EPI_ISL_2844833|B/Qinghai-Chengdong/1404/2021|2021-04-07	Qinghai	Northwest
EPI_ISL_2844841|B/Gansu-Baiyin/1281/2021|2021-04-13	Gansu	Northwest
EPI_ISL_2844842|B/Gansu-Baiyin/1293/2021|2021-04-14	Gansu	Northwest
EPI_ISL_2844843|B/Gansu-Chengguan/1515/2021|2021-03-30	Gansu	Northwest
EPI_ISL_2844845|B/Gansu-Baiyin/1269/2021|2021-04-06	Gansu	Northwest
EPI_ISL_3722681|B/Shanghai-Huangpu/1825/2021|2021-06-03	Shanghai	East
EPI_ISL_3722687|B/Zhejiang-Haishu/11220/2021|2021-06-21	Zhejiang	East
EPI_ISL_3722689|B/Gansu-Jingyuan/1410/2021|2021-05-25	Gansu	Northwest
